run_id,world_half_cm,thickness_nm,backing_thickness_um,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot
204,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.5800000000e+01,2.0000000000e+05,1.7800100000e+05,1.7800100000e+05,8.9000500000e-01,2.3305639659e+02,1.2075460963e+02,2.3355054405e+02,1.2101064459e+02,2.2811332547e+02,1.1819343288e+02,1.2719280000e+02,1.0756320000e+02,-5.0617569300e+00,-8.9856016953e+01,6.9962883008e-04,8.1460662467e-01,1.9708892168e+02,1.0211861227e+02,-5.0617569300e+00,1.0529301025e-02,1.9708892168e+02,1.0211861227e+02,2.1058602051e+01,1.0911192772e+01,2.1170252657e+01,1.0969042828e+01,2.8124158000e+06,2.8124158000e+06,3.3272591240e+04,8.9000500000e-01
205,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.0000000000e+01,2.0000000000e+05,1.8780800000e+05,1.8780800000e+05,9.3904000000e-01,1.2579440434e+02,6.5178447847e+01,1.2699347677e+02,6.5799728899e+01,1.2276597332e+02,6.3609312599e+01,6.5730000000e+01,5.6970000000e+01,-8.3911783583e-01,-9.0262963290e+01,5.3499475885e-04,5.9038881606e-01,1.0902947232e+02,5.6491954569e+01,-8.3911783583e-01,5.3530381700e-03,1.0902947232e+02,5.6491954569e+01,1.0706076340e+01,5.5471898135e+00,1.0734834031e+01,5.5620901715e+00,3.7561600000e+06,3.7561600000e+06,2.1412152680e+04,9.3904000000e-01
206,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.5100000000e+01,2.0000000000e+05,1.9310000000e+05,1.9310400000e+05,9.6550000000e-01,7.0218354227e+01,3.6382566957e+01,7.0147470205e+01,3.6345839484e+01,6.6962167888e+01,3.4695423776e+01,4.3800000000e+01,3.8069400000e+01,-1.6934778638e+01,-9.2904148319e+01,4.0810384708e-04,4.3801713207e-01,6.1031292567e+01,3.1622431382e+01,-1.6934778638e+01,2.6068009741e-03,6.1031292567e+01,3.1622431382e+01,5.2136019482e+00,2.7013481597e+00,5.2204091922e+00,2.7048752291e+00,4.8468100000e+06,4.8469104000e+06,1.3086140890e+04,9.6552000000e-01
207,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.5500000000e+01,2.0000000000e+05,1.9329100000e+05,1.9329300000e+05,9.6645500000e-01,6.8241082339e+01,3.5358073751e+01,6.7299410957e+01,3.4870161118e+01,6.4178602450e+01,3.3253161891e+01,4.2080000000e+01,3.6587000000e+01,-1.5974159338e+01,-9.2428029851e+01,4.0261478472e-04,4.3169872730e-01,5.9333091244e+01,3.0742534323e+01,-1.5974159338e+01,2.6733942333e-03,5.9333091244e+01,3.0742534323e+01,5.3467884667e+00,2.7703567185e+00,5.3539482669e+00,2.7740664595e+00,4.9289205000e+06,4.9289715000e+06,1.3634310590e+04,9.6646500000e-01
208,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.0000000000e+01,2.0000000000e+05,1.9563900000e+05,1.9564800000e+05,9.7819500000e-01,4.4092484638e+01,2.2845846963e+01,4.3875966609e+01,2.2733661455e+01,4.1375390495e+01,2.1438026163e+01,2.2730000000e+01,1.9910000000e+01,5.0966547606e-01,-9.2055171146e+01,3.2656960954e-04,3.4595771104e-01,3.8622145585e+01,2.0011474396e+01,5.0966547606e-01,1.5264518850e-03,3.8622145585e+01,2.0011474396e+01,3.0529037700e+00,1.5818154249e+00,3.0552361992e+00,1.5830239374e+00,5.8691700000e+06,5.8694398383e+06,9.1587113100e+03,9.7823997305e-01
209,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.2400000000e+01,2.0000000000e+05,1.9648000000e+05,1.9649900000e+05,9.8240000000e-01,3.5513443179e+01,1.8400747761e+01,3.5805271581e+01,1.8551954187e+01,3.3562074496e+01,1.7389675905e+01,1.9835600000e+01,1.7349200000e+01,-7.2337223934e+00,-9.2708231115e+01,2.9402584920e-04,3.1014861480e-01,3.1061819577e+01,1.6094207034e+01,-7.2337223934e+00,1.2207863426e-03,3.1061819577e+01,1.6094207034e+01,2.4415726852e+00,1.2650635675e+00,2.4430642185e+00,1.2658363826e+00,6.3659520000e+06,6.3665672731e+06,7.9106955000e+03,9.8249494955e-01
210,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.9800000000e+01,2.0000000000e+05,1.9786900000e+05,1.9790300000e+05,9.8934500000e-01,2.1424341959e+01,1.1100695316e+01,2.0802235130e+01,1.0778360171e+01,1.9143222562e+01,9.9187681670e+00,1.0911200000e+01,9.4534000002e+00,1.7367046289e+00,-9.3498302149e+01,2.2958082428e-04,2.4046979559e-01,1.8561924837e+01,9.6175776356e+00,1.7367046289e+00,5.9311940201e-04,1.8561924837e+01,9.6175776356e+00,1.1862388040e+00,6.1463150468e-01,1.1865907338e+00,6.1481385172e-01,7.8751862000e+06,7.8765394000e+06,4.7212304400e+03,9.8951500000e-01
211,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,4.0000000000e+01,2.0000000000e+05,1.9794100000e+05,1.9798000000e+05,9.8970500000e-01,2.0696720113e+01,1.0723689177e+01,2.0527789298e+01,1.0636160258e+01,1.8881281827e+01,9.7830475789e+00,1.0670000000e+01,9.2400000000e+00,5.0317879526e-01,-9.3581803883e+01,2.2571013463e-04,2.3632952503e-01,1.7922932881e+01,9.2864937207e+00,5.0317879526e-01,5.7228487500e-04,1.7922932881e+01,9.2864937207e+00,1.1445697500e+00,5.9304132124e-01,1.1448973850e+00,5.9321108030e-01,7.9176400000e+06,7.9191987295e+06,4.5782790000e+03,9.8989984119e-01
212,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,4.1400000000e+01,2.0000000000e+05,1.9809900000e+05,1.9814100000e+05,9.9049500000e-01,1.9100921624e+01,9.8968505822e+00,1.8737005177e+01,9.7082928380e+00,1.7175423580e+01,8.8991832023e+00,1.0009060000e+01,8.6534000000e+00,-1.1210784804e+00,-9.3874141998e+01,2.1696376397e-04,2.2699046035e-01,1.6513829988e+01,8.5563885948e+00,-1.1210784804e+00,5.1154167150e-04,1.6513829988e+01,8.5563885948e+00,1.0230833430e+00,5.3009499637e-01,1.0233451071e+00,5.3023062547e-01,8.2012986000e+06,8.2030370973e+06,4.2355650400e+03,9.9070496344e-01
213,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,5.0000000000e+01,2.0000000000e+05,1.9883500000e+05,1.9888600000e+05,9.9417500000e-01,1.1684062967e+01,6.0539186359e+00,1.1376674087e+01,5.8946497862e+00,1.0214979915e+01,5.2927357071e+00,5.9490000000e+00,5.0500000000e+00,1.7636348273e+00,-9.4081288073e+01,1.7016270706e-04,1.7736757760e-01,9.9183926685e+00,5.1390635588e+00,1.7636348273e+00,2.8843362900e-04,9.9183926685e+00,5.1390635588e+00,5.7686725800e-01,2.9889495233e-01,5.7695046796e-01,2.9893806630e-01,9.9417500000e+06,9.9442956523e+06,2.8843362900e+03,9.9442956523e-01
214,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,5.2800000000e+01,2.0000000000e+05,1.9902400000e+05,1.9906600000e+05,9.9512000000e-01,9.7838921609e+00,5.0693741766e+00,9.8552117048e+00,5.1063273082e+00,8.7891865366e+00,4.5539826614e+00,5.3229200000e+00,4.4956000000e+00,-4.7632845015e+00,-9.5196604440e+01,1.5582338720e-04,1.6226687500e-01,8.2632212392e+00,4.2814617819e+00,-4.7632845015e+00,2.0838350000e-04,8.2632212392e+00,4.2814617819e+00,4.1676700000e-01,2.1594145078e-01,4.1681042972e-01,2.1596395322e-01,1.0508467200e+07,1.0510683146e+07,2.2005297600e+03,9.9532984340e-01
215,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.0000000000e+01,2.0000000000e+05,1.9928600000e+05,1.9932900000e+05,9.9643000000e-01,7.1527753143e+00,3.7061011991e+00,7.0283824513e+00,3.6416489385e+00,6.1721593481e+00,3.1980100249e+00,3.7130000000e+00,3.0700000000e+00,-1.8580126271e-01,-9.5341683797e+01,1.3336519598e-04,1.3869742544e-01,5.9140910894e+00,3.0642959012e+00,-1.8580126271e-01,1.3800494667e-04,5.9140910894e+00,3.0642959012e+00,2.7600989333e-01,1.4301030743e-01,2.7602894045e-01,1.4302017640e-01,1.1957160000e+07,1.1959727292e+07,1.6560593600e+03,9.9664394099e-01
216,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.3100000000e+01,2.0000000000e+05,1.9938100000e+05,1.9942700000e+05,9.9690500000e-01,6.1995988357e+00,3.2122273760e+00,6.1485383923e+00,3.1857711877e+00,5.3683965092e+00,2.7815525954e+00,3.3351417323e+00,2.7377060368e+00,-3.6854312694e+00,-9.4947494209e+01,1.2420589710e-04,1.2911037080e-01,5.0890428415e+00,2.6368097624e+00,-3.6854312694e+00,1.3348145959e-04,5.0890428415e+00,2.6368097624e+00,2.6696291918e-01,1.3832275605e-01,2.6698073806e-01,1.3833198863e-01,1.2580941100e+07,1.2583817441e+07,1.6845360200e+03,9.9713291929e-01
217,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.5000000000e+01,2.0000000000e+05,1.9943800000e+05,1.9947300000e+05,9.9719000000e-01,5.6279109233e+00,2.9160160224e+00,5.6658371387e+00,2.9356669112e+00,4.9458506987e+00,2.5626169423e+00,3.1035511811e+00,2.5340419947e+00,-6.0425991946e+00,-9.5704291263e+01,1.1836604032e-04,1.2300475249e-01,4.5951755876e+00,2.3809199936e+00,-6.0425991946e+00,1.0504513615e-04,4.5951755876e+00,2.3809199936e+00,2.1009027231e-01,1.0885506337e-01,2.1010130756e-01,1.0886078112e-01,1.2963470000e+07,1.2965737617e+07,1.3655867700e+03,9.9736443208e-01
218,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.7200000000e+01,2.0000000000e+05,1.9947200000e+05,1.9951000000e+05,9.9736000000e-01,5.2869818908e+00,2.7393688554e+00,5.1689759027e+00,2.6782258563e+00,4.5124954464e+00,2.3380805422e+00,2.8353937008e+00,2.2982204724e+00,-3.3866494595e+00,-9.5521109708e+01,1.1473949625e-04,1.1921576200e-01,4.2853484564e+00,2.2203878012e+00,-3.3866494595e+00,9.9332056548e-05,4.2853484564e+00,2.2203878012e+00,1.9866411310e-01,1.0293477362e-01,1.9867398061e-01,1.0293988632e-01,1.3404518400e+07,1.3407027594e+07,1.3350228400e+03,9.9754669600e-01
219,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.8000000000e+01,2.0000000000e+05,1.9948700000e+05,1.9953000000e+05,9.9743500000e-01,5.1365904972e+00,2.6614458535e+00,4.9984736166e+00,2.5898827029e+00,4.3672029303e+00,2.2627994458e+00,2.7378818898e+00,2.2124671916e+00,-2.7917945116e+00,-9.4847884761e+01,1.1310218333e-04,1.1750573728e-01,4.1508503322e+00,2.1506996540e+00,-2.7917945116e+00,1.0999924927e-04,4.1508503322e+00,2.1506996540e+00,2.1999849853e-01,1.1398885934e-01,2.2001059925e-01,1.1399512915e-01,1.3565116000e+07,1.3568018431e+07,1.4959897900e+03,9.9764841402e-01
220,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.9000000000e+01,2.0000000000e+05,1.9948500000e+05,1.9952400000e+05,9.9742500000e-01,5.1566420296e+00,2.6718352485e+00,4.7698472494e+00,2.4714234453e+00,4.1927869207e+00,2.1724284563e+00,2.6159921260e+00,2.1052755906e+00,2.1346823619e+00,-9.5313916404e+01,1.1332187289e-04,1.1773516067e-01,4.1499179169e+00,2.1502165373e+00,2.1346823619e+00,9.5202050000e-05,4.1499179169e+00,2.1502165373e+00,1.9040410000e-01,9.8654974093e-02,1.9041316401e-01,9.8659670469e-02,1.3764465000e+07,1.3767139587e+07,1.3137882900e+03,9.9761881062e-01
221,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,7.0000000000e+01,2.0000000000e+05,1.9789800000e+05,1.9825900000e+05,9.8949000000e-01,2.1131240210e+01,1.0948829124e+01,2.0967598769e+01,1.0864040813e+01,2.0370817980e+01,1.0554827969e+01,2.7904295942e+00,2.0866372315e+00,2.9237073557e+02,-9.1951118372e+01,2.2803004078e-04,2.3881045831e-01,1.5801592938e+01,8.1873538538e+00,2.9237073557e+02,1.6207267714e-04,1.5801592938e+01,8.1873538538e+00,3.2414535429e-01,1.6795096077e-01,3.2417162468e-01,1.6796457237e-01,1.3852860000e+07,1.3875001643e+07,2.2690174800e+03,9.9107154593e-01
222,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,7.2000000000e+01,2.0000000000e+05,1.9808900000e+05,1.9842100000e+05,9.9044500000e-01,1.9201883793e+01,9.9491625871e+00,1.9630992434e+01,1.0171498671e+01,1.8973112566e+01,9.8306282724e+00,3.7943436755e+00,2.2451097852e+00,1.6221036991e+02,-9.4232013779e+01,2.1752818179e-04,2.2759245084e-01,1.1361737598e+01,5.8869106727e+00,1.6221036991e+02,1.2496520625e-04,1.1361737598e+01,5.8869106727e+00,2.4993041250e-01,1.2949762306e-01,2.4994603010e-01,1.2950571508e-01,1.4262408000e+07,1.4282842612e+07,1.7994989700e+03,9.9186407026e-01
223,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,7.5000000000e+01,2.0000000000e+05,1.9826000000e+05,1.9854400000e+05,9.9130000000e-01,1.7476131887e+01,9.0549906148e+00,1.7727241076e+01,9.1850990030e+00,1.7064974527e+01,8.8419557135e+00,5.3002147973e+00,2.4828186158e+00,7.0841955678e+01,-9.4970142584e+01,2.0765728978e-04,2.1707747537e-01,8.1864730467e+00,4.2416958791e+00,7.0841955678e+01,1.2051135800e-04,8.1864730467e+00,4.2416958791e+00,2.4102271600e-01,1.2488223627e-01,2.4103724015e-01,1.2488976174e-01,1.4869500000e+07,1.4887093146e+07,1.8076703700e+03,9.9247287637e-01
224,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,8.0000000000e+01,2.0000000000e+05,1.9849600000e+05,1.9875000000e+05,9.9248000000e-01,1.5096835515e+01,7.8221945672e+00,1.5104797765e+01,7.8263200854e+00,1.4451440180e+01,7.4877928394e+00,7.8100000000e+00,2.8790000000e+00,1.5614042528e-01,-9.6584738647e+01,1.9317672738e-04,2.0169992058e-01,5.5651458959e+00,2.8834952828e+00,1.5614042528e-01,9.4883986250e-05,5.5651458959e+00,2.8834952828e+00,1.8976797250e-01,9.8325374352e-02,1.8977697604e-01,9.8330039399e-02,1.5879680000e+07,1.5895882834e+07,1.5181437800e+03,9.9349267714e-01
225,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,8.5700000000e+01,2.0000000000e+05,1.9869400000e+05,1.9892400000e+05,9.9347000000e-01,1.3102827444e+01,6.7890297637e+00,1.2672373918e+01,6.5659968486e+00,1.2055110647e+01,6.2461713196e+00,6.8489800000e+00,2.6569850000e+00,-8.7531627103e-01,-9.7039769583e+01,1.8010218072e-04,1.8786111726e-01,5.0830949975e+00,2.6337279780e+00,-8.7531627103e-01,7.5900027421e-05,5.0830949975e+00,2.6337279780e+00,1.5180005484e-01,7.8652878157e-02,1.5180581595e-01,7.8655863186e-02,1.7028075800e+07,1.7042811493e+07,1.3009264700e+03,9.9432972536e-01
226,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.0000000000e+02,2.0000000000e+05,1.9913800000e+05,1.9929700000e+05,9.9569000000e-01,8.6386296485e+00,4.4759739111e+00,8.5705998776e+00,4.4407253252e+00,8.0453884161e+00,4.1685950342e+00,4.4380000000e+00,2.1000000000e+00,8.5565369784e-01,-9.7908480336e+01,1.4648248871e-04,1.5245239491e-01,4.0876796444e+00,2.1179687277e+00,8.5565369784e-01,4.2384646000e-05,4.0876796444e+00,2.1179687277e+00,8.4769292000e-02,4.3921912953e-02,8.4771088509e-02,4.3922843787e-02,1.9913800000e+07,1.9924558211e+07,8.4769292000e+02,9.9622791053e-01
227,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.0920000000e+02,2.0000000000e+05,1.9932200000e+05,1.9944300000e+05,9.9661000000e-01,6.7915181384e+00,3.5189213152e+00,6.8378461187e+00,3.5429254501e+00,6.3625396651e+00,3.2966526762e+00,3.9123120000e+00,1.8861552000e+00,-1.0055197152e+01,-9.8225703269e+01,1.2997130260e-04,1.3514342388e-01,3.2742422518e+00,1.6964985761e+00,-1.0055197152e+01,3.2294680403e-05,3.2742422518e+00,1.6964985761e+00,6.4589360806e-02,3.3465990055e-02,6.4590403775e-02,3.3466530453e-02,2.1765962400e+07,2.1774512917e+07,7.0531582000e+02,9.9700150720e-01
228,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.3920000000e+02,2.0000000000e+05,1.9964200000e+05,1.9972000000e+05,9.9821000000e-01,3.5832079287e+00,1.8565844190e+00,3.6872745870e+00,1.9105049674e+00,3.3280584516e+00,1.7243826174e+00,2.1981120000e+00,1.1888352000e+00,-1.5537314794e+01,-9.8812428097e+01,9.4519730744e-05,9.8123548659e-02,1.9379557159e+00,1.0041221326e+00,-1.5537314794e+01,1.3624133261e-05,1.9379557159e+00,1.0041221326e+00,2.7248266523e-02,1.4118272810e-02,2.7248452142e-02,1.4118368985e-02,2.7790166400e+07,2.7796441344e+07,3.7929587000e+02,9.9843539309e-01
229,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.5000000000e+02,2.0000000000e+05,1.9969300000e+05,1.9975900000e+05,9.9846500000e-01,3.0723586390e+00,1.5918956679e+00,3.0573088142e+00,1.5840978312e+00,2.7269739263e+00,1.4129398582e+00,1.5810000000e+00,9.3780000000e-01,6.8916305345e-01,-9.9316731143e+01,8.7539813085e-05,9.0854293553e-02,1.8224275342e+00,9.4426297111e-01,6.8916305345e-01,6.1834260000e-06,1.8224275342e+00,9.4426297111e-01,1.2366852000e-02,6.4076953368e-03,1.2366890235e-02,6.4077151476e-03,2.9953950000e+07,2.9959252009e+07,1.8550278000e+02,9.9864173364e-01
230,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.5800000000e+02,2.0000000000e+05,1.9975300000e+05,1.9981600000e+05,9.9876500000e-01,2.4715264819e+00,1.2805836694e+00,2.6861600884e+00,1.3917927919e+00,2.3740008444e+00,1.2300522510e+00,1.4535440000e+00,8.6636000000e-01,-1.1899215339e+01,-9.8846460893e+01,7.8532629365e-05,8.1481592840e-02,1.4731110189e+00,7.6326995799e-01,-1.1899215339e+01,9.6440183545e-06,1.4731110189e+00,7.6326995799e-01,1.9288036709e-02,9.9938014036e-03,1.9288129717e-02,9.9938495941e-03,3.1560974000e+07,3.1567364765e+07,3.0475098000e+02,9.9896723939e-01
231,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,1.7750000000e+02,2.0000000000e+05,1.9979900000e+05,1.9984600000e+05,9.9899500000e-01,2.0110107022e+00,1.0419744571e+00,2.0207062714e+00,1.0469980681e+00,1.7456354281e+00,9.0447431507e-01,1.1428700000e+00,6.9222500000e-01,-8.8282606841e+00,-9.8995366554e+01,7.0851604604e-05,7.3495214612e-02,1.2180491949e+00,6.3111357248e-01,-8.8282606841e+00,6.7109225352e-06,1.2180491949e+00,6.3111357248e-01,1.3421845070e-02,6.9543238707e-03,1.3421890107e-02,6.9543472058e-03,3.5464322500e+07,3.5469223698e+07,2.3823775000e+02,9.9913306192e-01
232,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.0000000000e+02,2.0000000000e+05,1.9985200000e+05,1.9989100000e+05,9.9926000000e-01,1.4805478703e+00,7.6712324886e-01,1.5176885824e+00,7.8636714111e-01,1.2743880908e+00,6.6030471028e-01,7.8440000000e-01,4.9130000000e-01,-2.2025434908e+00,-9.9328924952e+01,6.0805114916e-05,6.3057144065e-02,9.2732428439e-01,4.8047890383e-01,-2.2025434908e+00,3.1815970000e-06,9.2732428439e-01,4.8047890383e-01,6.3631940000e-03,3.2969917098e-03,6.3632041225e-03,3.2969969547e-03,3.9970400000e+07,3.9974780307e+07,1.2726388000e+02,9.9936950767e-01
233,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.2620000000e+02,2.0000000000e+05,1.9989400000e+05,1.9993400000e+05,9.9947000000e-01,1.0602809993e+00,5.4936839341e-01,1.1399586573e+00,5.9065215406e-01,9.2530250029e-01,4.7943134730e-01,6.6372280000e-01,4.1427200000e-01,-1.7229241874e+01,-9.9418336977e+01,5.1464507187e-05,5.3359376000e-02,6.6178942495e-01,3.4289607510e-01,-1.7229241874e+01,2.3253286914e-06,6.6178942495e-01,3.4289607510e-01,4.6506573829e-03,2.4096670378e-03,4.6506627899e-03,2.4096698393e-03,4.5216022800e+07,4.5220880297e+07,1.0519787000e+02,9.9957737173e-01
234,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.5100000000e+02,2.0000000000e+05,1.9990700000e+05,1.9994000000e+05,9.9953500000e-01,9.3021629205e-01,4.8197735340e-01,9.0544619661e-01,4.6914310705e-01,7.1124648550e-01,3.6852149508e-01,5.4949400000e-01,3.4136000000e-01,-1.2287058022e+01,-9.9505233165e+01,4.8207041757e-05,4.9978723793e-02,5.7787461456e-01,2.9941689874e-01,-1.2287058022e+01,1.6298233068e-06,5.7787461456e-01,2.9941689874e-01,3.2596466136e-03,1.6889360692e-03,3.2596492698e-03,1.6889374455e-03,5.0176657000e+07,5.0182201537e+07,8.1817130000e+01,9.9964544894e-01
235,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,2.8830000000e+02,2.0000000000e+05,1.9993200000e+05,1.9995900000e+05,9.9966000000e-01,6.8011562621e-01,3.5239151617e-01,6.7700522144e-01,3.5077990748e-01,5.0699899264e-01,2.6269377857e-01,3.7769020000e-01,2.3169800000e-01,-6.6982632403e+00,-9.9503100536e+01,4.1224046381e-05,4.2733748522e-02,4.1722403801e-01,2.1617825804e-01,-6.6982632403e+00,1.1110104058e-06,4.1722403801e-01,2.1617825804e-01,2.2220208117e-03,1.1513061200e-03,2.2220220459e-03,1.1513067595e-03,5.7640395600e+07,5.7645726167e+07,6.4060860000e+01,9.9975244826e-01
236,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.0000000000e+02,2.0000000000e+05,1.9995000000e+05,1.9997100000e+05,9.9975000000e-01,5.0006251042e-01,2.5909974633e-01,6.2530501811e-01,3.2399223736e-01,4.6137215478e-01,2.3905292994e-01,3.2380000000e-01,1.9730000000e-01,-1.9981548384e+01,-9.9483533138e+01,3.5350919366e-05,3.6642237622e-02,3.0470146172e-01,1.5787640504e-01,-1.9981548384e+01,9.8332450000e-07,3.0470146172e-01,1.5787640504e-01,1.9666490000e-03,1.0189891192e-03,1.9666499670e-03,1.0189896202e-03,5.9985000000e+07,5.9989053765e+07,5.8999470000e+01,9.9981756274e-01
237,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.6770000000e+02,2.0000000000e+05,1.9996100000e+05,1.9997300000e+05,9.9980500000e-01,3.9003802994e-01,2.0209224349e-01,4.2768006243e-01,2.2159588727e-01,2.9125113431e-01,1.5090732348e-01,2.3490990000e-01,1.3819790000e-01,-1.3970316493e+01,-9.9566426296e+01,3.1221945407e-05,3.2360657900e-02,2.2946004684e-01,1.1889121598e-01,-1.3970316493e+01,5.7821811259e-07,2.2946004684e-01,1.1889121598e-01,1.1564362252e-03,5.9918975398e-04,1.1564365596e-03,5.9918992723e-04,7.3525659700e+07,7.3529225678e+07,4.2522160000e+01,9.9985349032e-01
238,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,3.9800000000e+02,2.0000000000e+05,1.9995100000e+05,1.9997100000e+05,9.9975500000e-01,4.9006003481e-01,2.5391711648e-01,3.7414640688e-01,1.9385824191e-01,2.4661308951e-01,1.2777880285e-01,1.9512600000e-01,1.1174600000e-01,3.0129822003e+01,-9.9397263911e+01,3.4995712237e-05,3.6273873874e-02,2.8065070083e-01,1.4541487089e-01,3.0129822003e+01,6.4995979899e-07,2.8065070083e-01,1.4541487089e-01,1.2999195980e-03,6.7353347046e-04,1.2999200204e-03,6.7353368933e-04,7.9580498000e+07,7.9586089912e+07,5.1736800000e+01,9.9982525015e-01
239,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,4.6870000000e+02,2.0000000000e+05,1.9997100000e+05,1.9998400000e+05,9.9985500000e-01,2.9002102703e-01,1.5026996219e-01,2.9037332881e-01,1.5045250198e-01,1.7965324163e-01,9.3084581157e-02,1.5492110000e-01,8.5542800000e-02,-3.0022623178e+00,-9.9605003264e+01,2.6923871843e-05,2.7904431472e-02,1.6014094085e-01,8.2974580750e-02,-3.0022623178e+00,3.2606507361e-07,1.6014094085e-01,8.2974580750e-02,6.5213014722e-04,3.3789126799e-04,6.5213025353e-04,3.3789132307e-04,9.3726407700e+07,9.3730386904e+07,3.0565340000e+01,9.9989744937e-01
240,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,5.0000000000e+02,2.0000000000e+05,1.9997400000e+05,1.9998600000e+05,9.9987000000e-01,2.6001690146e-01,1.3472378314e-01,2.6555034714e-01,1.3759085344e-01,1.6051475126e-01,8.3168264902e-02,1.3780000000e-01,7.4400000000e-02,-2.2323779809e+00,-9.9860690289e+01,2.5493440333e-05,2.6421507680e-02,1.4038648381e-01,7.2739110782e-02,-2.2323779809e+00,1.0001880000e-07,1.4038648381e-01,7.2739110782e-02,2.0003760000e-04,1.0364642487e-04,2.0003761004e-04,1.0364643007e-04,9.9987000000e+07,9.9990127806e+07,1.0001880000e+01,9.9990127806e-01
241,5.0000000000e+01,5.0000000000e+02,5.0000000000e+01,1.9300000000e+01,5.9770000000e+02,2.0000000000e+05,1.9997800000e+05,1.9999000000e+05,9.9989000000e-01,2.2001210089e-01,1.1399590720e-01,2.1133177056e-01,1.0949832672e-01,1.2086624545e-01,6.2624997641e-02,1.0995550000e-01,5.7136410000e-02,3.6745839864e+00,-9.9496619455e+01,2.3450788899e-05,2.4304009088e-02,1.1432535527e-01,5.9235935373e-02,3.6745839864e+00,2.7754709721e-07,1.1432535527e-01,5.9235935373e-02,5.5509419441e-04,2.8761357223e-04,5.5509427142e-04,2.8761361213e-04,1.1952685060e+08,1.1953075115e+08,3.3177980000e+01,9.9992262966e-01
